Name,Logo URL,Industries,Full Description,Description,Top 5 Investors,Last Funding Type,Last Funding Amount,Total Funding Equity,Number of Employees,Headquarters Location,Competitors,Founded Date
.sfty,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/6d35fcaee648418ab64ddbca6532cf0e","Artificial Intelligence (AI), Compliance, Logistics, Software, Transportation",.sfty provides camera-agnostic vision AI and automated safety workflows using AI agents to fleet companies in the US and Japan.,Industry-First AI Agents for Fleet Safety Operations,"Genesia Ventures, Asahi Media Lab Ventures",Seed,"$1,400,000","$2,100,000",11-50,"Bellevue, Washington, United States",7,"Jul 1, 2021"
Moso,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/h5pvkxdbkfcrh0lddurs","Blockchain, Cryptocurrency, Web Design",Moso is a Web3 platform that lets users earn cryptocurrency by shopping at their favorite online businesses.,Moso is a Web3 platform that lets users earn cryptocurrency by shopping at their favorite online businesses.,"CoinList, dao5, Symbolic Capital, Polygon Ventures",Seed,"$2,000,000","$2,000,000",11-50,"Wilmington, Delaware, United States",—,2022
Infobox,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/ibgkretju4zhaogl9eb5","Data Management, Information Services, Market Research, Sales",Infobox is a sales data platform that includes every detail from market research to creating a list of companies and contacting decision-makers.,Infobox is a sales data platform that covers everything from conducting market research to compiling a list of firms.,"Mitsubishi UFJ Capital, ANRI, Headline Asia (formerly Infinity Ventures), GREE Ventures, KSK Angel Fund",Seed,"¥666,000,000","¥666,000,000",11-50,"Tokyo, Tokyo, Japan",8,"Jul 13, 2018"
mmob,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/sg0jkd2mjrmii7prrefu","Financial Services, FinTech, Information Technology","mmob offers the fastest route to market when embedding your products and services with your partners, simplifying integration into any digital channel.","We build embedded services, so you don't have to. Fast. Scalable. Enterprise-ready.",,Seed,"£5,000,000","£5,000,000",11-50,"London, England, United Kingdom",8,"Apr 23, 2020"
Conundrum,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/xvo8yxsphm9hxitykokz","Analytics, Artificial Intelligence (AI), Industrial Automation, Information Technology, Machine Learning, Software","Conundrum is a leading provider of Industrial AI software accelerating digital transformation for metal, mining and steel industries.The Conundrum Platform provides a comprehensive toolset to build more efficient and cost-effective enterprise-scale industrial AI applications. Conundrum offers an open, data-driven AI architecture that dramatically simplifies data science and application development, at the same time increasing sustainability and decreasing environmental impact for companies.","Conundrum is a leading provider of Industrial AI software accelerating digital transformation for metal, mining and steel industries.","Speedinvest, White Cloud",Series A,"$4,000,000","$7,750,000",51-100,"Cambridge, Cambridgeshire, United Kingdom",10,"Aug 29, 2018"
IVM Markets,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rmilc3bohp4vc1isnnpv","B2B, Financial Services, FinTech, SaaS",IVM MARKETS INC (USA) IS AN AI DRIVEN STRUCTURED PRODUCTS SOFTWARE TO HELP WITH IDEA GENERATION AND PRODUCT OPTIMIZATION Let our AI curate your thematic index / stock list and the resulting most optimal basket and trade idea out of thousands in seconds. The resulting best ideas send for final auction with multi issuer platforms (which are also clients of IVM). Re-trading the same basket or product over and over without optimizing for changing markets is like driving blindfolded on a winding ice road. A more optimal idea with higher upside and higher protection is always there to be found with the right tools.,IVM MARKETS INC (USA) IS AN AI DRIVEN STRUCTURED PRODUCTS SOFTWARE TO HELP WITH IDEA GENERATION AND PRODUCT OPTIMIZATION,"SixThirty, AltaIR Capital, Begin Capital, BlackWood Ventures, Geekdom Fund",Seed,"$3,400,000","$4,900,000",11-50,"Dover, Delaware, United States",7,Aug 2020
Mocapay,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rjilhroripmm1re1elrz","Enterprise Software, Finance, Financial Services, FinTech","MOCA, headquartered in the Austin suburb of Bastrop, Texas, is a fintech company founded and managed by community financial institution and payment industry veterans. With well over 125 years of industry experience, MOCA’s principals have been providing cutting edge financial products to community banks and credit unions for decades. We are prior founders and alumni of familiar names, such as Visa, FundsXpress, Kasasa, the U.S. Treasury, AFFN, Buzz Points, Towny, and others. We are committed to helping community financial institutions remain competitive and thrive by delivering next-generation FinTech products for their retail and business customers. We have spent the better part of our careers doing just that, and we are proud to continue that tradition with MOCA.",We are committed to helping community financial institutions remain competitive by delivering next-generation FinTech products.,"Woodforest National Bank, Spartan Poker, Lacuna LLC, Lacuna",Series B,"$6,000,000","$13,350,325",11-50,"Bastrop, Texas, United States",8,2019
aifora,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/nih4adn3jwoxua5o1lk3","Artificial Intelligence (AI), B2B, Big Data, Machine Learning, Predictive Analytics, Retail Technology, SaaS","aifora believe in the data sharing economy. Therefore, they strive to make data available and actionable for all brands and retailers so that they can take informed business decisions, create outstanding consumer experiences, improve profitability, and grow faster. Based on their big data platform, they connect their clients, form a shared data ecosystem and provide solutions for customer-centric merchandising. They leverage deep learning algorithms to build more accurate and targeted pricing, promotions and merchandise flow that will influence customer behavior. With intelligent automation, they eliminate repetitive and transactional activities so that merchandisers can focus on product innovation and customer experience.","aifora offers powerful SaaS solutions for more accurate and targeted pricing, promotions and merchandise flow for brands and retailers.","NRW.BANK, Capnamic Ventures, New Forge",Series A,"€7,000,000","€10,000,000",11-50,"Düsseldorf, Nordrhein-Westfalen,",3,Feb 2018
AlgoDriven,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/rnojyurcxvfktwbfqroe","Automotive, Big Data, FinTech","AlgoDriven is an automotive data platform that helps car dealers, classifieds, banks and insurance companies accurately identify and price used cars. Car dealers use our patented mobile app, EvalExpert to appraise their cars, while enterprise clients access our platform through our APIs","AlgoDriven helps dealers, finance and insurance companies, accurately identify and price used cars.","500 Global, Global Ventures, Automotive Ventures, Social Capital, Oman Technology Fund",Seed,"$2,000,000","$2,900,000",11-50,"Dubai, Dubai, United Arab Emirates",5,Jul 2018
ZYTLYN Technologies,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/vzcwqz8pehqkwdfay0wp","Analytics, Artificial Intelligence (AI), Big Data, Data Integration, Machine Learning, Software","Headquartered in Geneva, Switzerland, ZYTLYN is an AI company focus on the travel industries, helping companies across travel industries shape the future with predictive insights, by augmenting commercial planning & operations, to adapt, recover and grow faster, with a total addressable market of close to $50 billion.","ZYTLYN is a data analytics and AI company, helping customers address their most urgent problems with its Prediction as-a-Service product.","Plug and Play, SICTIC, Business Angels Switzerland (BAS), Velocity Ventures, FONGIT",Seed,"$1,100,000","$3,600,000",11-50,"Geneva, Geneve, Switzerland",7,Jan 2021
Basil Systems,"https://images.crunchbase.com/image/upload/c_pad,h_25,w_25,f_auto,b_white,q_auto:eco,dpr_1/x0fjpaubgnj7bmo74mgy","Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Predictive Analytics, SaaS, Software","Basil’s SaaS platform leverages machine-learning across product, market and regulatory data to provide analytics and insights for medical device and pharmaceutical companies.",SaaS platform for healthcare companies,"Alumni Ventures, Golden Ventures, Predictive, 4G Capital, Looking Glass Capital",Seed,—,"$1,500,000",11-50,"Boston, Massachusetts, United States",6,"Nov 13, 2019"
